ID	Assessment	Class	Group_Number	Group	Subgroup_Number	Subgroup	HDIndex	Participant_Knowledge_Avg	Participant_Knowledge_Med	Participant_Knowledge_AvgxHDI	Participant_Knowledge_MedxHDI
58	CR-CAH	Biodiversity_Objects	1	Ecosystem	1.3	Marine	0.776	2	2	1.55	1.55
59	CR-CAH	Biodiversity_Objects	1	Ecosystem	1.1	Terrestrial	0.776	2	2	1.55	1.55
60	CR-CAH	Biodiversity_Objects	1	Ecosystem	1.3	Marine	0.776	2	2	1.55	1.55
61	CR-CAH	Biodiversity_Objects	1	Ecosystem	1.3	Marine	0.776	2	2	1.55	1.55
62	CR-CAH	Biodiversity_Objects	1	Ecosystem	1.3	Marine	0.776	2	2	1.55	1.55
63	CR-CAH	Biodiversity_Objects	4	Species	4.3	Marine	0.776	2	2	1.55	1.55
64	CR-CAH	Biodiversity_Objects	4	Species	4.3	Marine	0.776	2	2	1.55	1.55
65	CR-CAH	Biodiversity_Objects	1	Ecosystem	1.3	Marine	0.776	2	2	1.55	1.55
66	GT-LAC	Biodiversity_Objects	1	Ecosystem	1.1	Terrestrial	0.776	2	2	1.55	1.55
67	PE-RCS	Human_Wellbeing	4	Socio-cultural	4.1	Social_relations	0.64	2.13	2	1.37	1.28
68	PE-RCS	Human_Wellbeing	4	Socio-cultural	4.2	Culture	0.64	2.13	2	1.37	1.28
69	PE-RCS	Human_Wellbeing	4	Socio-cultural	4.1	Social_relations	0.64	2.13	2	1.37	1.28
70	PE-RCS	Human_Wellbeing	2	Economic	2.1	Work	0.64	2.13	2	1.37	1.28
71	PE-RCS	Ecosytem_Services	1	Provisioning	1.3	Materials	0.64	2.13	2	1.37	1.28
72	PE-RCS	Ecosytem_Services	1	Provisioning	1.3	Materials	0.64	2.13	2	1.37	1.28
73	PE-RCS	Ecosytem_Services	1	Provisioning	1.1	Water	0.64	2.13	2	1.37	1.28
74	PE-RCS	Ecosytem_Services	1	Provisioning	1.2	Food	0.64	2.13	2	1.37	1.28
75	PE-RCS	Biodiversity_Objects	1	Ecosystem	1.1	Terrestrial	0.64	2.13	2	1.37	1.28
76	PE-RCS	Biodiversity_Objects	1	Ecosystem	1.1	Terrestrial	0.64	2.13	2	1.37	1.28
77	PE-RCS	Biodiversity_Objects	2	Subsystem	2.1	Terrestrial	0.64	2.13	2	1.37	1.28
78	PE-RCS	Biodiversity_Objects	1	Ecosystem	1.2	FresHuman_Wellbeingater	0.64	2.13	2	1.37	1.28
79	PE-RCS	Biodiversity_Objects	1	Ecosystem	1.2	FresHuman_Wellbeingater	0.64	2.13	2	1.37	1.28
80	PE-RCS	Biodiversity_Objects	3	Functional_group	3.1	Terrestrial	0.64	2.13	2	1.37	1.28
81	PE-RCS	Biodiversity_Objects	2	Subsystem	2.1	Terrestrial	0.64	2.13	2	1.37	1.28
82	DE-LRP	Biodiversity_Objects	1	Ecosystem	1.1	Terrestrial	0.74	2.16	2	1.6	1.48
83	DE-LRP	Biodiversity_Objects	1	Ecosystem	1.2	FresHuman_Wellbeingater	0.74	2.16	2	1.6	1.48
84	DE-LRP	Biodiversity_Objects	1	Ecosystem	1.2	FresHuman_Wellbeingater	0.74	2.16	2	1.6	1.48
85	DE-LRP	Biodiversity_Objects	1	Ecosystem	1.2	FresHuman_Wellbeingater	0.74	2.16	2	1.6	1.48
86	DE-LRP	Biodiversity_Objects	1	Ecosystem	1.1	Terrestrial	0.74	2.16	2	1.6	1.48
87	DE-AUE	Human_Wellbeing	4	Socio-cultural	4.3	Political_engagement	0.926	3	3	2.78	2.78
88	DE-AUE	Human_Wellbeing	4	Socio-cultural	4.3	Political_engagement	0.926	3	3	2.78	2.78
89	DE-AUE	Ecosytem_Services	1	Provisioning	1.3	Materials	0.926	3	3	2.78	2.78
90	DE-AUE	Ecosytem_Services	2	Regulating	2.5	Protection	0.926	3	3	2.78	2.78
91	DE-AUE	Ecosytem_Services	2	Regulating	2.3	Lithosphere	0.926	3	3	2.78	2.78
92	DE-AUE	Ecosytem_Services	4	Supporting	NA	NA	0.926	3	3	2.78	2.78
93	DE-AUE	Ecosytem_Services	3	Cultural	3.1	Recreation	0.926	3	3	2.78	2.78
94	DE-AUE	Ecosytem_Services	3	Cultural	3.3	Aesthetic_appreciation_and_inspiration	0.926	3	3	2.78	2.78
95	DE-AUE	Ecosytem_Services	3	Cultural	3.3	Aesthetic_appreciation_and_inspiration	0.926	3	3	2.78	2.78
96	DE-AUE	Ecosytem_Services	3	Cultural	3.4	Spiritual_experience_and_sense_of_place	0.926	3	3	2.78	2.78
97	DE-AUE	Ecosytem_Services	3	Cultural	3.2	Tourism	0.926	3	3	2.78	2.78
98	DE-AUE	Biodiversity_Objects	1	Ecosystem	1.1	Terrestrial	0.926	3	3	2.78	2.78
99	DE-AUE	Biodiversity_Objects	1	Ecosystem	1.1	Terrestrial	0.926	3	3	2.78	2.78
100	DE-AUE	Biodiversity_Objects	4	Species	4.1	Terrestrial	0.926	3	3	2.78	2.78
101	DE-AUE	Biodiversity_Objects	1	Ecosystem	1.1	Terrestrial	0.926	3	3	2.78	2.78
102	DE-RAN	Human_Wellbeing	1	Physical	1.4	Safety_(including_housing,_shelter,_etc.)	0.926	3.08	3	2.85	2.78
103	DE-RAN	Human_Wellbeing	3	Mental	3.3	Health	0.926	3.08	3	2.85	2.78
104	DE-RAN	Human_Wellbeing	2	Economic	2.1	Work	0.926	3.08	3	2.85	2.78
105	DE-RAN	Human_Wellbeing	1	Physical	1.2	Food	0.926	3.08	3	2.85	2.78
106	DE-RAN	Human_Wellbeing	4	Socio-cultural	4.2	Culture	0.926	3.08	3	2.85	2.78
107	DE-RAN	Ecosytem_Services	1	Provisioning	1.2	Food	0.926	3.08	3	2.85	2.78
108	DE-RAN	Ecosytem_Services	1	Provisioning	1.2	Food	0.926	3.08	3	2.85	2.78
109	DE-RAN	Ecosytem_Services	1	Provisioning	1.3	Materials	0.926	3.08	3	2.85	2.78
110	DE-RAN	Ecosytem_Services	1	Provisioning	1.2	Food	0.926	3.08	3	2.85	2.78
111	DE-RAN	Ecosytem_Services	1	Provisioning	1.2	Food	0.926	3.08	3	2.85	2.78
112	DE-RAN	Ecosytem_Services	1	Provisioning	1.1	Water	0.926	3.08	3	2.85	2.78
113	DE-RAN	Ecosytem_Services	1	Provisioning	1.1	Water	0.926	3.08	3	2.85	2.78
114	DE-RAN	Ecosytem_Services	2	Regulating	2.1	Atmosphere	0.926	3.08	3	2.85	2.78
115	DE-RAN	Ecosytem_Services	1	Provisioning	1.2	Food	0.926	3.08	3	2.85	2.78
116	DE-RAN	Ecosytem_Services	2	Regulating	2.2	Hydrosphere	0.926	3.08	3	2.85	2.78
117	DE-RAN	Ecosytem_Services	2	Regulating	2.7	Waste_treatment	0.926	3.08	3	2.85	2.78
118	DE-RAN	Ecosytem_Services	2	Regulating	2.2	Hydrosphere	0.926	3.08	3	2.85	2.78
119	DE-RAN	Ecosytem_Services	2	Regulating	2.2	Hydrosphere	0.926	3.08	3	2.85	2.78
120	DE-RAN	Ecosytem_Services	2	Regulating	2.4	Climate	0.926	3.08	3	2.85	2.78
121	DE-RAN	Ecosytem_Services	2	Regulating	2.1	Atmosphere	0.926	3.08	3	2.85	2.78
122	DE-RAN	Ecosytem_Services	2	Regulating	2.5	Protection	0.926	3.08	3	2.85	2.78
123	DE-RAN	Ecosytem_Services	4	Supporting	NA	NA	0.926	3.08	3	2.85	2.78
124	DE-RAN	Ecosytem_Services	2	Regulating	2.6	Biological_control	0.926	3.08	3	2.85	2.78
125	DE-RAN	Ecosytem_Services	2	Regulating	2.3	Lithosphere	0.926	3.08	3	2.85	2.78
126	DE-RAN	Ecosytem_Services	2	Regulating	2.3	Lithosphere	0.926	3.08	3	2.85	2.78
127	DE-RAN	Ecosytem_Services	2	Regulating	2.4	Climate	0.926	3.08	3	2.85	2.78
128	DE-RAN	Ecosytem_Services	4	Supporting	NA	NA	0.926	3.08	3	2.85	2.78
129	DE-RAN	Ecosytem_Services	3	Cultural	3.1	Recreation	0.926	3.08	3	2.85	2.78
130	DE-RAN	Ecosytem_Services	4	Supporting	NA	NA	0.926	3.08	3	2.85	2.78
131	DE-RAN	Ecosytem_Services	1	Provisioning	1.4	Energy	0.926	3.08	3	2.85	2.78
132	DE-RAN	Ecosytem_Services	4	Supporting	NA	NA	0.926	3.08	3	2.85	2.78
133	DE-RAN	Ecosytem_Services	4	Supporting	NA	NA	0.926	3.08	3	2.85	2.78
134	DE-RAN	Ecosytem_Services	4	Supporting	NA	NA	0.926	3.08	3	2.85	2.78
135	DE-RAN	Ecosytem_Services	3	Cultural	3.1	Recreation	0.926	3.08	3	2.85	2.78
136	DE-RAN	Ecosytem_Services	3	Cultural	3.3	Aesthetic_appreciation_and_inspiration	0.926	3.08	3	2.85	2.78
137	DE-RAN	Ecosytem_Services	3	Cultural	3.3	Aesthetic_appreciation_and_inspiration	0.926	3.08	3	2.85	2.78
138	DE-RAN	Ecosytem_Services	3	Cultural	3.3	Aesthetic_appreciation_and_inspiration	0.926	3.08	3	2.85	2.78
139	DE-RAN	Ecosytem_Services	3	Cultural	3.3	Aesthetic_appreciation_and_inspiration	0.926	3.08	3	2.85	2.78
140	DE-RAN	Biodiversity_Objects	1	Ecosystem	1.2	FresHuman_Wellbeingater	0.926	3.08	3	2.85	2.78
141	DE-RAN	Biodiversity_Objects	4	Species	4.2	FresHuman_Wellbeingater	0.926	3.08	3	2.85	2.78
142	DE-RAN	Biodiversity_Objects	1	Ecosystem	1.2	FresHuman_Wellbeingater	0.926	3.08	3	2.85	2.78
143	DE-RAN	Biodiversity_Objects	1	Ecosystem	1.4	Anthropogenic	0.926	3.08	3	2.85	2.78
144	DE-RAN	Biodiversity_Objects	1	Ecosystem	1.1	Terrestrial	0.926	3.08	3	2.85	2.78
145	DE-RAN	Biodiversity_Objects	1	Ecosystem	1.1	Terrestrial	0.926	3.08	3	2.85	2.78
146	DE-RAN	Biodiversity_Objects	1	Ecosystem	1.2	FresHuman_Wellbeingater	0.926	3.08	3	2.85	2.78
147	DE-RAN	Biodiversity_Objects	1	Ecosystem	1.1	Terrestrial	0.926	3.08	3	2.85	2.78
148	DE-RAN	Biodiversity_Objects	3	Functional_group	3.1	Terrestrial	0.926	3.08	3	2.85	2.78
149	DE-RAN	Biodiversity_Objects	1	Ecosystem	1.1	Terrestrial	0.926	3.08	3	2.85	2.78
150	DE-RAN	Biodiversity_Objects	4	Species	4.1	Terrestrial	0.926	3.08	3	2.85	2.78
151	RU-ALY	Human_Wellbeing	1	Physical	1.2	Food	0.804	2.4	2	1.93	1.61
152	RU-ALY	Human_Wellbeing	1	Physical	1.4	Safety_(including_housing,_shelter,_etc.)	0.804	2.4	2	1.93	1.61
153	RU-ALY	Human_Wellbeing	2	Economic	2.3	Materials	0.804	2.4	2	1.93	1.61
154	RU-ALY	Human_Wellbeing	2	Economic	2.4	Energy	0.804	2.4	2	1.93	1.61
155	RU-ALY	Human_Wellbeing	2	Economic	2.1	Work	0.804	2.4	2	1.93	1.61
156	RU-ALY	Human_Wellbeing	1	Physical	1.3	Health	0.804	2.4	2	1.93	1.61
157	RU-ALY	Human_Wellbeing	3	Mental	3.3	Health	0.804	2.4	2	1.93	1.61
158	RU-ALY	Human_Wellbeing	4	Socio-cultural	4.4	Spiritual_experience_and_sense_of_place	0.804	2.4	2	1.93	1.61
159	RU-ALY	Human_Wellbeing	3	Mental	3.1	Education	0.804	2.4	2	1.93	1.61
160	RU-ALY	Human_Wellbeing	3	Mental	3.2	Freedom	0.804	2.4	2	1.93	1.61
161	RU-ALY	Human_Wellbeing	3	Mental	3.2	Freedom	0.804	2.4	2	1.93	1.61
162	RU-ALY	Human_Wellbeing	4	Socio-cultural	4.1	Social_relations	0.804	2.4	2	1.93	1.61
163	RU-ALY	Human_Wellbeing	1	Physical	1.3	Health	0.804	2.4	2	1.93	1.61
164	RU-ALY	Human_Wellbeing	1	Physical	1.4	Safety_(including_housing,_shelter,_etc.)	0.804	2.4	2	1.93	1.61
165	RU-ALY	Ecosytem_Services	1	Provisioning	1.1	Water	0.804	2.4	2	1.93	1.61
166	RU-ALY	Ecosytem_Services	1	Provisioning	1.4	Energy	0.804	2.4	2	1.93	1.61
167	RU-ALY	Ecosytem_Services	1	Provisioning	1.2	Food	0.804	2.4	2	1.93	1.61
168	RU-ALY	Ecosytem_Services	1	Provisioning	1.2	Food	0.804	2.4	2	1.93	1.61
169	RU-ALY	Ecosytem_Services	1	Provisioning	1.3	Materials	0.804	2.4	2	1.93	1.61
